holeid,x,y,z,maxdepth,Campana,ENDDATE
DMH0003,475390.612,7481496.446,1764.623,192.0,2004_hidrica,14-Jul-2004
DMH0005,473601.326,7478798.937,1695.247,130.0,2004_hidrica,9-Jul-2004
DMH0006,473747.529,7479998.983,1702.164,90.0,2004_hidrica,17-Jul-2004
DMH0007,474630.633,7478484.599,1726.279,160.0,2004_hidrica,17-Jul-2004
DR183D,474408.109,7479630.314,1634.027,108.05,Tunel,
DR183I,474409.11,7479633.14,1634.027,108.05,Tunel,
DR88D,474448.05,7479631.304,1604.258,59.98,Tunel,
DR88I,474449.752,7479628.834,1604.258,59.98,Tunel,
DTH0001,474911.827,7479415.651,1738.143,98.0,2004_hidrica,17-Jul-2004
KP02-S01,473648.0,7480332.0,1700.0,50.2,2002_suelos,
KP02-S02,473326.0,7479471.0,1680.0,35.1,2002_suelos,
KP02-S03,473136.0,7479501.0,1680.0,20.23,2002_suelos,1-May-2000
KP02-S04,473029.0,7479254.0,1680.0,15.14,2002_suelos,1-Sep-2000
KP02-S05,473131.0,7478880.0,1680.0,15.1,2002_suelos,1-Nov-2000
KP02-S06,472023.0,7476822.0,1650.0,35.0,2002_suelos,
KP02-S07,472041.0,7474061.0,1670.0,25.0,2002_suelos,
KP02-S09,471833.0,7473701.0,1670.0,25.0,2002_suelos,
N0001,474977.77,7478010.19,1735.41,200.0,Descubrimiento,5-Jul-1995
N0002,479988.24,7482078.68,1963.9,110.0,Descubrimiento,6-Jul-1995
N0003,475008.26,7483056.67,1762.4,130.0,Descubrimiento,7-Jul-1995
N0004,474953.06,7476059.54,1732.87,160.0,Descubrimiento,7-Jul-1995
N0005,474949.65,7477024.4,1734.17,226.0,Descubrimiento,7-Mar-1996
N0006,474002.16,7477990.55,1705.1,90.0,Descubrimiento,7-Mar-1996
N0007,474973.95,7479039.76,1736.95,140.0,Descubrimiento,8-Mar-1996
N0008,476002.84,7477997.21,1770.87,230.0,Descubrimiento,9-Mar-1996
N0009,473490.558,7479006.559,1690.651,120.0,Descubrimiento,10-Mar-1996
N0010,474969.913,7481036.973,1747.053,300.0,Descubrimiento,12-Mar-1996
N0011,481988.39,7482035.19,2072.42,70.0,Descubrimiento,15-Mar-1996
N0012,478943.04,7480535.49,1909.81,170.0,Descubrimiento,16-Mar-1996
N0013,477990.48,7478008.77,1846.97,160.0,Descubrimiento,17-Mar-1996
N0014,473512.79,7475551.79,1690.66,144.0,Descubrimiento,18-Mar-1996
N0015,472000.0,7473400.0,1687.0,174.0,Descubrimiento,19-Mar-1996
N0016,476999.49,7480986.15,1824.37,180.0,Descubrimiento,17-May-1996
N0017,475982.633,7482026.757,1789.413,160.0,Descubrimiento,18-May-1996
N0018,476010.52,7480048.38,1782.74,228.0,Descubrimiento,19-May-1996
N0020,475994.68,7481095.54,1784.97,180.0,Descubrimiento,25-May-1996
N0021,474908.702,7482011.826,1752.243,252.0,Descubrimiento,26-May-1996
N0022,476956.82,7482996.75,1832.645,198.0,Descubrimiento,27-Nov-1996
N0023,477991.88,7482009.1,1870.59,176.0,Descubrimiento,1-May-1996
N0024,478976.33,7483058.81,1915.68,116.0,Descubrimiento,1-May-1996
N0025,479989.07,7482068.31,1963.74,188.0,Descubrimiento,1-May-1996
N0026,476965.457,7482036.134,1826.651,186.0,Descubrimiento,1-May-1996
N0027,473954.006,7482018.437,1722.776,114.0,Descubrimiento,1-May-1996
N0028,474000.362,7481068.685,1716.279,98.0,Descubrimiento,1-May-1996
N0029,473983.366,7480033.355,1709.186,183.0,Descubrimiento,1-May-1996
N0030,474010.262,7479026.271,1706.292,240.0,Descubrimiento,1-May-1996
N0031,472960.77,7480039.8,1680.49,66.0,Descubrimiento,1-May-1996
N0032,472982.121,7479021.634,1677.535,130.0,Descubrimiento,1-May-1996
N0033,472989.779,7478015.453,1676.915,98.0,Descubrimiento,1-May-1996
